Country,Year,Happiness Score
Chad,2023,4.4
Cambodia,2023,4.39
Benin,2023,4.37
Myanmar,2023,4.37
Bangladesh,2023,4.28
Gambia,2023,4.28
Mali,2023,4.2
Egypt,2023,4.17
Togo,2023,4.14
Jordan,2023,4.12
Ethiopia,2023,4.09
Liberia,2023,4.04
India,2023,4.04
Madagascar,2023,4.02
Zambia,2023,3.98
Tanzania,2023,3.69
Comoros,2023,3.55
Malawi,2023,3.5
Botswana,2023,3.44
Congo (Kinshasa),2023,3.21
Zimbabwe,2023,3.2
Sierra Leone,2023,3.14
Lebanon,2023,2.39
Afghanistan,2023,1.86
Finland,2023,7.82
Denmark,2023,7.64
Iceland,2023,7.56
Switzerland,2023,7.51
Netherlands,2023,7.42
Luxembourg,2023,7.4
Sweden,2023,7.38
Norway,2023,7.37
Israel,2023,7.36
New Zealand,2022,7.2
Austria,2022,7.16
Australia,2022,7.16
Ireland,2022,7.04
Germany,2022,7.03
Canada,2022,7.03
United States,2022,6.98
United Kingdom,2022,6.94
Czechia,2022,6.92
Belgium,2022,6.81
France,2022,6.69
Bahrain,2022,6.65
Slovenia,2022,6.63
Costa Rica,2022,6.58
United Arab Emirates,2022,6.58
Saudi Arabia,2022,6.52
Taiwan Province of China,2022,6.51
Singapore,2022,6.48
Romania,2022,6.48
Spain,2022,6.48
Uruguay,2022,6.47
Italy,2022,6.47
Kosovo,2022,6.46
Malta,2022,6.45
Lithuania,2022,6.45
Slovakia,2022,6.39
Estonia,2022,6.34
Panama,2022,6.31
Brazil,2022,6.29
Guatemala,2022,6.26
Kazakhstan,2022,6.23
Cyprus,2022,6.22
Latvia,2022,6.18
Serbia,2022,6.18
Chile,2022,6.17
Nicaragua,2022,6.17
Mexico,2022,6.13
Croatia,2022,6.13
Poland,2022,6.12
El Salvador,2022,6.12
Kuwait,2022,6.11
Hungary,2022,6.09
Mauritius,2022,6.07
Uzbekistan,2022,6.06
Japan,2022,6.04
Honduras,2022,6.02
Portugal,2022,6.02
Argentina,2022,5.97
Greece,2022,5.95
South Korea,2022,5.94
Philippines,2022,5.9
Thailand,2022,5.89
Moldova,2022,5.86
Jamaica,2022,5.85
Kyrgyzstan,2022,5.83
Belarus,2022,5.82
Colombia,2022,5.78
Bosnia and Herzegovina,2022,5.77
Mongolia,2022,5.76
Dominican Republic,2022,5.74
Malaysia,2022,5.71
Bolivia,2022,5.6
China,2022,5.59
Paraguay,2022,5.58
Peru,2022,5.56
Montenegro,2022,5.55
Ecuador,2022,5.53
Vietnam,2022,5.49
Turkmenistan,2022,5.47
North Cyprus,2022,5.47
Russia,2022,5.46
Hong Kong S.A.R. of China,2022,5.43
Armenia,2022,5.4
Tajikistan,2022,5.38
Nepal,2022,5.38
Bulgaria,2022,5.37
Libya,2022,5.33
Indonesia,2022,5.24
Ivory Coast,2022,5.24
North Macedonia,2022,5.2
Albania,2022,5.2
South Africa,2022,5.19
Azerbaijan,2022,5.17
Gambia,2022,5.16
Bangladesh,2022,5.16
Laos,2022,5.14
Algeria,2022,5.12
Liberia,2022,5.12
Ukraine,2022,5.08
Congo,2022,5.08
Morocco,2022,5.06
Mozambique,2022,5.05
Cameroon,2022,5.05
Senegal,2022,5.05
Niger,2022,5
Georgia,2022,4.97
Gabon,2022,4.96
Iraq,2022,4.94
Venezuela,2022,4.93
Guinea,2022,4.89
Iran,2022,4.89
Ghana,2022,4.87
Turkey,2022,4.74
Burkina Faso,2022,4.67
Cambodia,2022,4.64
Benin,2022,4.62
Comoros,2022,4.61
Uganda,2022,4.6
Nigeria,2022,4.55
Kenya,2022,4.54
Tunisia,2022,4.52
Pakistan,2022,4.52
Palestinian Territories,2022,4.48
Mali,2022,4.48
Namibia,2022,4.46
"Eswatini, Kingdom of",2022,4.4
Myanmar,2022,4.39
Sri Lanka,2022,4.36
Madagascar,2022,4.34
Egypt,2022,4.29
Chad,2022,4.25
Ethiopia,2022,4.24
Yemen,2022,4.2
Mauritania,2022,4.15
Jordan,2022,4.15
Togo,2022,4.11
India,2022,3.78
Zambia,2022,3.76
Malawi,2022,3.75
Tanzania,2022,3.7
Sierra Leone,2022,3.57
Lesotho,2022,3.51
Botswana,2022,3.47
Rwanda,2022,3.27
Zimbabwe,2022,3
Lebanon,2022,2.96
Afghanistan,2022,2.4
Finland,2022,7.84
Denmark,2022,7.62
Switzerland,2022,7.57
Iceland,2022,7.55
Netherlands,2022,7.46
Norway,2022,7.39
Sweden,2022,7.36
Luxembourg,2022,7.32
New Zealand,2022,7.28
Austria,2022,7.27
Australia,2022,7.18
Israel,2022,7.16
Germany,2021,7.16
Canada,2021,7.1
Ireland,2021,7.09
Costa Rica,2021,7.07
United Kingdom,2021,7.06
Czech Republic,2021,6.97
United States,2021,6.95
Belgium,2021,6.83
France,2021,6.69
Bahrain,2021,6.65
Malta,2021,6.6
Taiwan Province of China,2021,6.58
United Arab Emirates,2021,6.56
Saudi Arabia,2021,6.49
Spain,2021,6.49
Italy,2021,6.48
Slovenia,2021,6.46
Guatemala,2021,6.44
Uruguay,2021,6.43
Singapore,2021,6.38
Kosovo,2021,6.37
Slovakia,2021,6.33
Brazil,2021,6.33
Mexico,2021,6.32
Jamaica,2021,6.31
Lithuania,2021,6.26
Cyprus,2021,6.22
Estonia,2021,6.19
Panama,2021,6.18
Uzbekistan,2021,6.18
Chile,2021,6.17
Poland,2021,6.17
Kazakhstan,2021,6.15
Romania,2021,6.14
Kuwait,2021,6.11
Serbia,2021,6.08
El Salvador,2021,6.06
Mauritius,2021,6.05
Latvia,2021,6.03
Colombia,2021,6.01
Hungary,2021,5.99
Thailand,2021,5.99
Nicaragua,2021,5.97
Japan,2021,5.94
Argentina,2021,5.93
Portugal,2021,5.93
Honduras,2021,5.92
Croatia,2021,5.88
Philippines,2021,5.88
South Korea,2021,5.85
Peru,2021,5.84
Bosnia and Herzegovina,2021,5.81
Moldova,2021,5.77
Ecuador,2021,5.76
Kyrgyzstan,2021,5.74
Greece,2021,5.72
Bolivia,2021,5.72
Mongolia,2021,5.68
Paraguay,2021,5.65
Montenegro,2021,5.58
Dominican Republic,2021,5.55
North Cyprus,2021,5.54
Belarus,2021,5.53
Russia,2021,5.48
Hong Kong S.A.R. of China,2021,5.48
Tajikistan,2021,5.47
Vietnam,2021,5.41
Libya,2021,5.41
Malaysia,2021,5.38
Indonesia,2021,5.35
Congo (Brazzaville),2021,5.34
China,2021,5.34
Ivory Coast,2021,5.31
Armenia,2021,5.28
Nepal,2021,5.27
Bulgaria,2021,5.27
Maldives,2021,5.2
Azerbaijan,2021,5.17
Cameroon,2021,5.14
Senegal,2021,5.13
Albania,2021,5.12
North Macedonia,2021,5.1
Ghana,2021,5.09
Niger,2021,5.07
Turkmenistan,2021,5.07
Gambia,2021,5.05
Benin,2021,5.05
Laos,2021,5.03
Bangladesh,2021,5.03
Guinea,2021,4.98
South Africa,2021,4.96
Turkey,2021,4.95
Pakistan,2021,4.93
Morocco,2021,4.92
Venezuela,2021,4.89
Georgia,2021,4.89
Algeria,2021,4.89
Ukraine,2021,4.88
Iraq,2021,4.85
Gabon,2021,4.85
Burkina Faso,2021,4.83
Cambodia,2021,4.83
Mozambique,2021,4.79
Nigeria,2021,4.76
Mali,2021,4.72
Iran,2021,4.72
Uganda,2021,4.64
Liberia,2021,4.63
Kenya,2021,4.61
Tunisia,2021,4.6
Lebanon,2021,4.58
Namibia,2021,4.57
Palestinian Territories,2021,4.52
Myanmar,2021,4.43
Jordan,2021,4.4
Chad,2021,4.36
Sri Lanka,2021,4.33
Swaziland,2021,4.31
Comoros,2021,4.29
Egypt,2021,4.28
Ethiopia,2021,4.28
Mauritania,2021,4.23
Madagascar,2021,4.21
Togo,2021,4.11
Zambia,2021,4.07
Sierra Leone,2021,3.85
India,2021,3.82
Burundi,2021,3.78
Yemen,2021,3.66
Tanzania,2021,3.62
Haiti,2021,3.62
Malawi,2021,3.6
Lesotho,2021,3.51
Botswana,2021,3.47
Rwanda,2021,3.42
Zimbabwe,2021,3.15
Afghanistan,2021,2.52
Finland,2021,7.81
Denmark,2021,7.65
Switzerland,2021,7.56
Iceland,2021,7.5
Norway,2021,7.49
Netherlands,2021,7.45
Sweden,2021,7.35
New Zealand,2021,7.3
Austria,2021,7.29
Luxembourg,2021,7.24
Canada,2021,7.23
Australia,2021,7.22
United Kingdom,2021,7.16
Israel,2021,7.13
Costa Rica,2021,7.12
Ireland,2021,7.09
Germany,2020,7.08
United States,2020,6.94
Czech Republic,2020,6.91
Belgium,2020,6.86
United Arab Emirates,2020,6.79
Malta,2020,6.77
France,2020,6.66
Mexico,2020,6.47
Taiwan Province of China,2020,6.46
Uruguay,2020,6.44
Saudi Arabia,2020,6.41
Spain,2020,6.4
Guatemala,2020,6.4
Italy,2020,6.39
Singapore,2020,6.38
Brazil,2020,6.38
Slovenia,2020,6.36
El Salvador,2020,6.35
Kosovo,2020,6.33
Panama,2020,6.3
Slovakia,2020,6.28
Uzbekistan,2020,6.26
Chile,2020,6.23
Bahrain,2020,6.23
Lithuania,2020,6.22
Trinidad and Tobago,2020,6.19
Poland,2020,6.19
Colombia,2020,6.16
Cyprus,2020,6.16
Nicaragua,2020,6.14
Romania,2020,6.12
Kuwait,2020,6.1
Mauritius,2020,6.1
Kazakhstan,2020,6.06
Estonia,2020,6.02
Philippines,2020,6.01
Hungary,2020,6
Thailand,2020,6
Argentina,2020,5.97
Honduras,2020,5.95
Latvia,2020,5.95
Ecuador,2020,5.93
Portugal,2020,5.91
Jamaica,2020,5.89
South Korea,2020,5.87
Japan,2020,5.87
Peru,2020,5.8
Serbia,2020,5.78
Bolivia,2020,5.75
Pakistan,2020,5.69
Paraguay,2020,5.69
Dominican Republic,2020,5.69
Bosnia and Herzegovina,2020,5.67
Moldova,2020,5.61
Tajikistan,2020,5.56
Montenegro,2020,5.55
Russia,2020,5.55
Kyrgyzstan,2020,5.54
Belarus,2020,5.54
North Cyprus,2020,5.54
Greece,2020,5.51
Hong Kong S.A.R. of China,2020,5.51
Croatia,2020,5.5
Libya,2020,5.49
Mongolia,2020,5.46
Malaysia,2020,5.38
Vietnam,2020,5.35
Indonesia,2020,5.29
Ivory Coast,2020,5.23
Benin,2020,5.22
Maldives,2020,5.2
Congo (Brazzaville),2020,5.19
Azerbaijan,2020,5.16
Macedonia,2020,5.16
Ghana,2020,5.15
Nepal,2020,5.14
Turkey,2020,5.13
China,2020,5.12
Turkmenistan,2020,5.12
Bulgaria,2020,5.1
Morocco,2020,5.09
Cameroon,2020,5.08
Venezuela,2020,5.05
Algeria,2020,5.01
Senegal,2020,4.98
Guinea,2020,4.95
Niger,2020,4.91
Laos,2020,4.89
Albania,2020,4.88
Cambodia,2020,4.85
Bangladesh,2020,4.83
Gabon,2020,4.83
South Africa,2020,4.81
Iraq,2020,4.78
Lebanon,2020,4.77
Burkina Faso,2020,4.77
Gambia,2020,4.75
Mali,2020,4.73
Nigeria,2020,4.72
Armenia,2020,4.68
Georgia,2020,4.67
Iran,2020,4.67
Jordan,2020,4.63
Mozambique,2020,4.62
Kenya,2020,4.58
Namibia,2020,4.57
Ukraine,2020,4.56
Liberia,2020,4.56
Palestinian Territories,2020,4.55
Uganda,2020,4.43
Chad,2020,4.42
Tunisia,2020,4.39
Mauritania,2020,4.37
Sri Lanka,2020,4.33
Congo (Kinshasa),2020,4.31
Swaziland,2020,4.31
Myanmar,2020,4.31
Comoros,2020,4.29
Togo,2020,4.19
Ethiopia,2020,4.19
Madagascar,2020,4.17
Egypt,2020,4.15
Sierra Leone,2020,3.93
Burundi,2020,3.78
Zambia,2020,3.76
Haiti,2020,3.72
Lesotho,2020,3.65
India,2020,3.57
Malawi,2020,3.54
Yemen,2020,3.53
Botswana,2020,3.48
Tanzania,2020,3.48
Central African Republic,2020,3.48
Rwanda,2020,3.31
Zimbabwe,2020,3.3
South Sudan,2020,2.82
Afghanistan,2020,2.57
